,CVP_INTAKE_EC,MIDR_INTAKE_EC,OLDR_CCF_EC,ROLD024_EC,RSAC054_EC,RSAC081_EC,RSAC092_EC,RSAN007_EC,RSAN018_EC,SLMZU003_EC,SLMZU011_EC,VICT_INTAKE_EC
12/2/1921,5.976,4.445,8.237,5.903,21945.375,2.104,0.39,0.35,1.163,194.962,6.273,10.644
12/3/1921,21.389,12.701,23.119,10.422,22969.803,48.694,1.646,1.751,3.576,1169.602,21.968,21.028
12/4/1921,306.125,19.763,115.547,13.64,22503.938,139.619,5.657,7.537,6.241,2332.416,66.117,29.67
12/5/1921,447.977,24.332,238.356,17.184,22164.84,278.709,12.715,22.915,9.353,3287.685,162.364,37.78
12/6/1921,531.068,27.914,228.347,22.394,21388.836,355.42,32.475,38.998,14.411,3856.112,287.288,45.148
12/7/1921,570.011,31.666,182.198,30.285,20628.715,399.851,67.814,50.197,23.81,4103.657,418.19,51.366
12/8/1921,547.312,37.674,129.712,42.7,20297.756,447.918,97.02,64.307,35.052,4306.088,559.965,59.648
12/9/1921,530.895,43.899,156.92,58.459,20528.701,565.179,113.045,91.254,44.602,4709.785,758.969,67.246
12/10/1921,478.512,55.985,241.477,73.823,20910.188,803.785,126.531,156.711,51.714,5446.059,1060.01,77.878
12/11/1921,513.656,87.887,272.542,87.069,21043.676,1023.798,142.146,246.291,59.536,6097.522,1316.894,95.174
12/12/1921,511.989,133.821,288.794,96.805,21537.779,1301.606,160.482,351.766,71.406,6763.729,1633.003,137.557
12/13/1921,520.64,176.314,318.724,103.599,22035.953,1709.396,185.892,519.576,89.219,7600.645,2073.285,179.14
12/14/1921,540.281,208.104,352.175,109.268,22078.711,2143.812,220.546,715.359,116.221,8319.224,2547.448,213.489
12/15/1921,569.63,236.084,387.328,114.846,21955.26,2332.681,239.769,814.71,139.808,8903.679,2911.626,240.441
12/16/1921,589.582,257.047,406.023,120.83,21829.303,2389.213,254.113,870.5,161.78,9208.843,3263.619,263.293
12/17/1921,595.702,273.881,415.876,127.613,21840.836,2543.179,275.708,964.382,187.948,9576.29,3689.291,280.413
12/18/1921,590.046,286.92,424.43,135.118,21299.443,2900.898,307.278,1146.494,228.048,10072.133,4180.264,294.373
12/19/1921,632.092,305.986,465.601,143.326,20709.168,2649.927,285.516,1103.862,242.955,10022.183,4394.829,310.831
12/20/1921,636.632,318.762,490.563,150.523,19731.633,2610.855,294.482,1110.138,264.031,9938.798,4571.066,326.146
12/21/1921,675.934,331.245,514.342,157.93,19537.184,2358.593,283.709,1014.735,272.518,9705.273,4746.986,342.867
12/22/1921,622.973,340.179,498.69,165.655,19350.537,2430.693,293.78,1100.328,301.074,9709.816,5039.482,348.212
12/23/1921,640.701,345.742,499.779,174.165,19317.004,2219.529,278.695,1062.334,310.333,9456.111,5153.587,364.156
12/24/1921,617.422,356.99,483.913,183.302,19420.754,2216.3,283.848,1080.216,330.303,9415.228,5303.753,376.172
12/25/1921,569.086,369.372,410.546,192.565,20913.73,3369.447,456.707,1552.382,457.636,10316.407,5978.077,377.086
12/26/1921,641.782,366.055,475.656,204.655,20253.662,3236.232,411.377,1579.929,473.284,10503.361,6170.166,382.311
12/27/1921,652.064,384.446,507.144,217.734,20044.455,2834.409,360.356,1465.073,454.76,10306.738,6193.184,389.816
12/28/1921,681.5,398.16,514.506,228.753,20474.979,2380.961,325.047,1229.137,415.797,10002.39,6186.262,412.444
12/29/1921,664.782,395.776,500.237,237.373,20337.875,2426.347,337.482,1214.237,437.267,9880.747,6324.679,409.191
12/30/1921,669.624,400.862,510.234,245.358,20129.01,2354.895,329.053,1166.029,437.852,9784.889,6388.645,411.946
12/31/1921,662.857,410.556,522.121,253.161,19894.705,2297.861,324.462,1133.659,449.402,9599.556,6458.897,417.797
1/1/1922,658.445,421.637,527.804,259.602,19279.063,2294.692,331.88,1111.16,451.331,9585.361,6528.121,430.716
1/2/1922,699.742,428.308,600.51,266.798,18545.572,1877.86,296.083,982.274,406.794,9340.348,6465.162,454.342
1/3/1922,666.865,433.309,588.205,272.739,17751.438,1475.519,265.896,839.075,364.725,8960.68,6360.56,463.382
1/4/1922,586.162,438.665,492.614,277.457,17030.021,1256.399,249.227,730.478,342.537,8610.586,6264.835,459.704
1/5/1922,560.868,444.656,466.736,281.02,16777.832,1169.997,241.18,682.594,336.701,8352.92,6211.617,458.651
1/6/1922,522.937,449.997,446.644,282.494,16939.725,1432.236,257.722,725.194,352.613,8358.341,6276.595,462.62
1/7/1922,529.742,454.365,467.806,283.703,16901.465,1380.555,253.509,731.237,351.369,8170.488,6225.648,465.7
1/8/1922,529.805,457.354,470.557,285.362,17153.668,1428.977,257.604,743.277,355.017,8132.184,6219.642,478.607
1/9/1922,521.642,467.091,472.407,287.922,17603.49,1638.154,277.931,791.688,369.318,8207.523,6265.623,483.78
1/10/1922,536.492,473.31,481.975,290.781,18004.508,1656.586,286.885,788.003,363.892,8236.19,6246.312,496.094
1/11/1922,541.293,475.403,489.928,293.765,18247.953,1810.345,307.097,824.441,365.102,8306.512,6272.198,500.967
1/12/1922,547.673,477.678,495.344,297.11,18278.273,2011.99,331.227,886.243,368.053,8428.79,6309.538,501.983
1/13/1922,554.109,478.118,501.458,300.208,18122.027,2196.281,353.503,946.617,367.604,8593.081,6354.841,503.381
1/14/1922,555.525,477.531,505.654,302.54,17800.695,2423.794,383.678,1047.004,374.139,8751.458,6442.395,501.243
1/15/1922,564.026,476.205,519.942,304.521,17104.998,2382.93,368.68,1037.222,368.348,8737.92,6470.738,503.892
1/16/1922,572.25,475.157,530.69,306.553,16554.865,2164.673,345.001,955.668,356.279,8644.187,6467.052,507.278
1/17/1922,567.658,473.76,527.946,306.84,15875.886,2103.847,338.198,936.69,353.866,8518.934,6489.839,500.535
1/18/1922,585.173,475.41,546.216,308.229,15271.323,1709.646,293.437,795.951,332.847,8244.304,6404.446,503.985
1/19/1922,580.464,474.007,539.005,309.03,15113.616,1467.782,272.832,702.727,320.408,7956.396,6338.118,500.758
1/20/1922,555.41,471.456,511.475,308.158,15145.828,1542.541,280.284,716.245,323.457,7822.311,6357.014,494.17
1/21/1922,544.75,470.15,493.646,306.335,15396.155,1569.515,280.79,741.263,327.774,7757.455,6363.399,494.806
1/22/1922,535.177,464.695,484.663,303.777,15826.39,1734.433,296.918,815.777,340.222,7813.779,6396.12,490.874
1/23/1922,536.544,461.939,481.849,302.139,16016.063,1845.536,306.156,868.249,350.541,7884.295,6401.125,486.11
1/24/1922,543.567,459.51,488.431,301.974,16177.812,1839.835,306.788,874.299,351.2,7892.677,6377.697,487.084
1/25/1922,547.755,457.662,491.678,302.445,16268.169,1842.786,309.59,869.5,352.067,7881.522,6367.956,487.728
1/26/1922,550.444,456.355,491.509,302.831,16135.387,1860.27,310.978,879.886,354.646,7891.657,6357.814,485.382
