,CVP_INTAKE_EC,MIDR_INTAKE_EC,OLDR_CCF_EC,ROLD024_EC,RSAC054_EC,RSAC081_EC,RSAC092_EC,RSAN007_EC,RSAN018_EC,SLMZU003_EC,SLMZU011_EC,VICT_INTAKE_EC
1/22/1922,546.0446777,473.4754028,497.8991089,328.4577942,17032.07422,2178.066406,351.0739441,1041.999756,397.8753052,8867.420898,7352.627441,499.3826294
1/23/1922,546.9013672,470.8690796,494.561554,326.1722717,17197.36133,2312.532471,365.2332764,1111.994629,412.9103088,8938.266602,7363.517578,494.7029419
1/24/1922,553.3345337,468.4886169,500.3516235,325.6037903,17341.32617,2315.071533,367.1541443,1120.25,413.9573975,8951.006836,7344.206055,495.732605
1/25/1922,557.1842041,466.6192932,503.2423401,325.8872375,17420.80078,2317.842285,371.850708,1115.854492,414.9980774,8941.217773,7335.135742,496.485199
1/26/1922,559.6385498,465.1846008,502.2390747,326.2009277,17300.42578,2341.523682,377.2236938,1129.34729,418.3720398,8956.577148,7326.499023,494.0144043
1/27/1922,550.6135864,462.4936523,500.1702576,325.4608459,17091.74805,2699.623535,428.8602295,1278.355347,448.010437,9051.207031,7360.86084,485.303772
1/28/1922,565.5176392,461.6400146,514.7421875,326.0226746,16593.89844,2530.890137,402.3994751,1224.827637,436.4847412,8986.870117,7306.577148,489.9579163
1/29/1922,554.1326904,458.8442993,506.223999,326.0232849,16443.79297,2929.331787,465.5245667,1410.453491,478.3478699,9077.46875,7376.652832,481.7039185
1/30/1922,559.3525391,456.8156128,519.8131104,326.063385,15671.79785,2959.19751,462.7990112,1477.304565,490.2609558,9119.348633,7394.604004,480.1490173
1/31/1922,588.3843384,457.5426636,550.6224976,328.5688782,14727.41113,2171.650879,343.0645142,1190.848633,424.2166138,8859.769531,7191.213379,493.0950928
2/1/1922,604.4871826,464.9346313,555.9465332,334.6340942,13958.1709,1496.687012,263.6117249,891.2078857,368.7952881,8434.826172,6219.734863,515.2000732
2/2/1922,622.9641724,480.8371582,573.1416626,340.1936951,12974.96387,1030.81311,229.1867676,686.9207764,336.5611877,7746.427246,3832.177002,537.4555054
2/3/1922,632.7176514,489.4521179,575.4546509,342.3166809,12255.88672,770.4329224,217.5903473,567.4945679,321.7674561,6887.744629,2234.497314,536.0703125
2/4/1922,628.0692139,502.316925,575.3292236,341.0249329,11471.65234,635.2034302,212.9804535,499.7620239,313.7161255,5879.205078,1518.913086,543.2844849
2/5/1922,629.6212158,517.5390625,572.4922485,341.371582,11043.30078,493.0328064,210.0099792,440.7991333,305.1829529,4952.85498,1164.452271,575.6204224
