Station,Train_Samples,Val_Samples,Test_Samples,Train_RMSE_Daily,Train_R2_Daily,Val_RMSE_Daily,Val_R2_Daily,Test_RMSE_Daily,Test_R2_Daily,Train_Months,Val_Months,Test_Months,Train_RMSE_Monthly,Train_R2_Monthly,Val_RMSE_Monthly,Val_R2_Monthly,Test_RMSE_Monthly,Test_R2_Monthly,y_train_min,y_train_max,y_test_min,y_test_max
RSAC092_EC,65955,16422,18276,92.96231535,0.989103359,99.76122256,0.987236326,191.9798007,0.971813636,904,903,201,38.32129062,0.998,46.09594929,0.997,89.46956112,0.993,170.4681702,6105.379883,175.0252075,5910.717773
RSAC054_EC,65955,16422,18276,373.9636013,0.997718422,386.621045,0.997567989,635.9483365,0.99240693,904,903,201,245.877244,0.999,259.8245178,0.999,529.6849736,0.995,453.4279785,27770.88867,1088.781372,28048.58398
RSAC081_EC,65955,16422,18276,247.001307,0.994242281,257.6875211,0.993699575,426.0452203,0.987293634,904,903,201,96.76163118,0.999,114.9517992,0.999,223.7801674,0.996,161.935,15031.91016,173.9408112,14899.018
RSAN018_EC,65955,16422,18276,65.21219147,0.989632536,66.53622323,0.989188423,120.7814795,0.9702664,904,903,201,30.46377028,0.997,33.62912238,0.997,71.53662615,0.988,109.9537811,3872.908691,165.5054169,4146.986328
