,NDOI,smscg,tide
4/26/1923,23120,1,4.948599815
4/27/1923,22996,1,5.346099854
4/28/1923,22750,1,5.556299686
4/29/1923,22150,1,6.479199886
4/30/1923,19972,1,7.224699974
5/1/1923,17754,1,7.614200115
5/2/1923,17125,1,7.604000092
5/3/1923,16863,1,7.530200005
5/4/1923,16730,1,7.081699848
5/5/1923,16652,1,6.338899612
5/6/1923,16604,1,5.487099648
5/7/1923,16571,1,4.84319973
5/8/1923,16548,1,4.694700241
5/9/1923,16531,1,4.576299667
5/10/1923,16518,1,4.380399704
5/11/1923,16507,1,4.324100018
5/12/1923,16498,1,4.767800331
5/13/1923,16491,1,5.264500141
5/14/1923,16484,1,5.493999958
5/15/1923,16478,1,5.889200211
5/16/1923,16471,1,5.923400402
5/17/1923,16464,1,6.057899952
5/18/1923,16457,1,5.844499588
5/19/1923,16449,1,5.864599705
5/20/1923,16439,1,5.626700401
5/21/1923,16427,1,5.261600018
5/22/1923,16412,1,4.807600021
5/23/1923,16391,1,4.913500309
5/24/1923,16364,1,5.042399883
5/25/1923,16325,1,5.129700184
5/26/1923,16267,1,5.411300182
5/27/1923,16175,1,6.51570034
5/28/1923,16015,1,7.350900173
5/29/1923,15702,1,7.860300064
5/30/1923,14951,1,8.147299767
5/31/1923,12300,1,8.026800156
6/1/1923,9696,1,7.551400185
6/2/1923,8979,1,7.187399864
6/3/1923,8684,1,6.249400139
6/4/1923,8535,1,5.319700241
6/5/1923,8450,1,4.938600063
6/6/1923,8396,1,4.577000141
6/7/1923,8361,1,4.330500126
6/8/1923,8336,1,4.073500156
6/9/1923,8318,1,4.598899841
6/10/1923,8305,1,5.191999912
6/11/1923,8294,1,5.610300064
6/12/1923,8286,1,6.098700047
6/13/1923,8280,1,6.336100101
6/14/1923,8274,1,6.596000195
6/15/1923,8270,1,6.627600193
6/16/1923,8266,1,6.481699944
6/17/1923,8262,1,6.414599895
6/18/1923,8259,1,6.159200191
6/19/1923,8255,1,5.552199841
6/20/1923,8252,1,5.311100006
6/21/1923,8248,1,5.181300163
6/22/1923,8243,1,5.060500145
6/23/1923,8237,1,5.157299995
6/24/1923,8229,1,6.148099899
6/25/1923,8217,1,6.976500034
6/26/1923,8199,1,7.572399616
6/27/1923,8167,1,8.044099808
6/28/1923,8105,1,8.131000519
6/29/1923,7953,1,7.816699982
6/30/1923,7402,1,7.12680006
7/1/1923,6841,1,6.879000187
7/2/1923,6681,1,6.050600052
7/3/1923,6615,1,5.204200268
7/4/1923,6581,1,4.691800117
7/5/1923,6562,1,4.238300323
7/6/1923,6549,1,3.901500225
7/7/1923,6541,1,4.059500217
7/8/1923,6535,1,4.567099571
7/9/1923,6531,1,5.167500019
7/10/1923,6527,1,5.761899948
7/11/1923,6525,1,6.20359993
7/12/1923,6522,1,6.642399788
7/13/1923,6520,1,6.911300182
7/14/1923,6519,1,6.89950037
7/15/1923,6517,1,6.887599945
7/16/1923,6515,1,6.558000088
7/17/1923,6513,1,6.235000134
7/18/1923,6511,1,5.637899876
7/19/1923,6508,1,5.416899681
7/20/1923,6505,1,5.083600044
7/21/1923,6502,1,5.419399738
7/22/1923,6497,1,5.623300076
7/23/1923,6491,1,6.284399986
7/24/1923,6483,1,6.924399853
7/25/1923,6471,1,7.416399956
7/26/1923,6453,1,7.647200108
7/27/1923,6424,1,7.543699741
7/28/1923,6375,1,7.08039999
7/29/1923,6279,1,6.639200211
7/30/1923,6048,1,6.152499676
7/31/1923,5232,1,5.448200226
8/1/1923,4416,1,4.757599831
8/2/1923,4185,1,4.207300186
8/3/1923,4088,1,3.673699856
8/4/1923,4039,1,3.80850029
8/5/1923,4011,1,4.090400219
8/6/1923,3993,1,4.375699997
8/7/1923,3981,1,4.901800156
8/8/1923,3973,1,5.508500099
8/9/1923,3967,1,6.134799957
8/10/1923,3963,1,6.590400219
8/11/1923,3959,1,6.793400288
8/12/1923,3957,1,6.978500366
8/13/1923,3955,1,6.742000103
8/14/1923,3953,1,6.208199978
8/15/1923,3952,1,5.91590023
8/16/1923,3950,1,5.433700085
8/17/1923,3950,1,4.949299812
8/18/1923,3949,1,5.331699848
8/19/1923,3948,1,5.707300186
8/20/1923,3947,1,5.731499672
8/21/1923,3947,1,6.162399769
8/22/1923,3946,1,6.523199558
8/23/1923,3946,1,6.765200138
8/24/1923,3945,1,6.784999847
8/25/1923,3945,1,6.534699917
8/26/1923,3944,1,6.22149992
8/27/1923,3943,1,5.681300163
8/28/1923,3941,1,5.083799839
8/29/1923,3937,1,4.591199875
8/30/1923,3929,1,4.098100185
8/31/1923,3898,1,3.721000195
9/1/1923,3868,1,3.714600086
9/2/1923,3860,1,3.803499937
9/3/1923,3857,1,4.034199715
9/4/1923,3855,1,4.240099907
9/5/1923,3854,1,4.603499889
9/6/1923,3854,1,5.176099777
9/7/1923,3853,1,5.680500031
9/8/1923,3853,1,6.161499977
9/9/1923,3853,1,6.469200134
9/10/1923,3853,1,6.390100002
9/11/1923,3853,1,6.149099827
9/12/1923,3853,1,5.732500076
9/13/1923,3853,1,5.791199684
9/14/1923,3853,1,5.925600052
9/15/1923,3853,1,5.85010004
9/16/1923,3853,1,5.683000088
9/17/1923,3854,1,5.635799885
9/18/1923,3854,1,5.496799946
9/19/1923,3854,1,5.63740015
9/20/1923,3855,1,5.731299877
9/21/1923,3856,1,5.735599995
9/22/1923,3857,1,5.653699875
9/23/1923,3859,1,5.382699966
9/24/1923,3861,1,4.991499901
9/25/1923,3864,1,4.750299931
9/26/1923,3870,1,4.656299591
9/27/1923,3879,1,4.603499889
9/28/1923,3898,1,4.582600117
9/29/1923,3943,1,4.415800095
9/30/1923,4109,1,4.235899925
10/1/1923,4277,1,4.083299637
10/2/1923,4325,1,4.051300049
10/3/1923,4345,1,4.210700035
10/4/1923,4355,1,4.303199768
10/5/1923,4361,1,4.727399826
10/6/1923,4364,1,5.162899971
10/7/1923,4367,1,5.447800159
10/8/1923,4369,1,5.63160038
10/9/1923,4370,1,5.694699764
10/10/1923,4371,1,6.501200199
10/11/1923,4372,1,6.974399567
10/12/1923,4373,1,7.038099766
10/13/1923,4373,1,6.904900074
10/14/1923,4374,1,6.503200054
10/15/1923,4374,1,5.954100132
10/16/1923,4375,1,5.403000355
10/17/1923,4376,1,4.953799725
10/18/1923,4376,1,4.82640028
10/19/1923,4377,1,5.040100098
10/20/1923,4378,1,5.064700127
10/21/1923,4380,1,4.887199879
10/22/1923,4382,1,4.938499928
10/23/1923,4384,1,5.100399971
10/24/1923,4387,1,5.418699741
10/25/1923,4391,1,5.466599941
10/26/1923,4398,1,5.531699657
10/27/1923,4409,1,5.425300121
10/28/1923,4427,1,5.180500031
10/29/1923,4463,1,4.89109993
10/30/1923,4550,1,4.607999802
10/31/1923,4856,1,4.332499981
11/1/1923,5156,0,4.155600071
11/2/1923,5239,0,4.278299809
11/3/1923,5273,0,4.387899876
11/4/1923,5290,0,4.93089962
11/5/1923,5300,0,5.194900036
11/6/1923,5306,0,6.097899914
11/7/1923,5310,0,7.106600285
11/8/1923,5313,0,7.722199917
11/9/1923,5315,0,8.064899445
11/10/1923,5317,0,7.993899822
11/11/1923,5318,0,7.515599728
11/12/1923,5319,0,6.759900093
11/13/1923,5320,0,5.882200241
11/14/1923,5321,0,5.08769989
11/15/1923,5321,0,4.843800068
11/16/1923,5322,0,4.663100243
11/17/1923,5323,0,4.76970005
11/18/1923,5323,0,4.657100201
11/19/1923,5324,0,5.051800251
11/20/1923,5325,0,5.427999973
11/21/1923,5326,0,5.795399666
11/22/1923,5327,0,6.052500248
11/23/1923,5329,0,6.179900169
11/24/1923,5332,0,6.260700226
11/25/1923,5336,0,6.109699726
11/26/1923,5342,0,5.95179987
11/27/1923,5352,0,5.631599903
11/28/1923,5373,0,5.151400089
11/29/1923,5424,0,4.636400223
