,NDOI,smscg,tide
10/31/1922,7983,1,4.42650032
11/1/1922,7834,1,4.639500141
11/2/1922,7793,1,5.177800179
11/3/1922,7777,1,5.494999886
11/4/1922,7769,1,5.845799923
11/5/1922,7765,1,6.018099785
11/6/1922,7763,1,6.094200134
11/7/1922,7763,1,6.038199902
11/8/1922,7763,1,5.817900181
11/9/1922,7764,1,5.448599815
11/10/1922,7766,1,5.044499874
11/11/1922,7769,1,4.660999775
11/12/1922,7773,1,4.665199757
11/13/1922,7777,1,4.801599979
11/14/1922,7783,1,5.090499878
11/15/1922,7791,1,5.570400238
11/16/1922,7800,1,6.625600338
11/17/1922,7812,1,7.368899822
11/18/1922,7826,1,7.87319994
11/19/1922,7845,1,7.983699799
11/20/1922,7869,1,7.754000187
11/21/1922,7901,1,7.244699955
11/22/1922,7945,1,6.518300056
11/23/1922,8004,1,5.611299992
11/24/1922,8090,1,4.741399765
11/25/1922,8220,1,4.392199993
11/26/1922,8427,1,4.12830019
11/27/1922,8788,1,3.952899933
11/28/1922,9502,1,4.01390028
11/29/1922,11240,1,4.4927001
11/30/1922,17553,1,5.092300415
12/1/1922,23980,1,5.676699638
12/2/1922,25801,1,6.125400066
12/3/1922,26560,1,6.564400196
12/4/1922,26947,1,6.775599957
12/5/1922,27169,1,6.935800076
12/6/1922,27309,1,6.82640028
12/7/1922,27402,1,6.503600121
12/8/1922,27467,1,6.048700333
12/9/1922,27513,1,5.386199951
12/10/1922,27548,1,5.003799915
12/11/1922,27574,1,4.872600079
12/12/1922,27593,1,4.7718997
12/13/1922,27609,1,5.263000011
12/14/1922,27620,1,6.231100082
12/15/1922,27629,1,7.055900097
12/16/1922,27636,1,7.71449995
12/17/1922,27640,1,7.990299702
12/18/1922,27643,1,7.939100266
12/19/1922,27644,1,7.713500023
12/20/1922,27643,1,7.166500092
12/21/1922,27640,1,6.326900005
12/22/1922,27635,1,5.446600437
12/23/1922,27627,1,4.711100101
12/24/1922,27614,1,4.244100094
12/25/1922,27594,1,3.831800222
12/26/1922,27563,1,3.517199993
12/27/1922,27514,1,3.804600239
12/28/1922,27427,1,4.506499767
12/29/1922,27256,1,5.145999908
12/30/1922,26845,1,5.781900406
12/31/1922,25393,1,6.434700012
1/1/1923,23942,1,6.843799591
1/2/1923,23531,1,7.281499863
1/3/1923,23359,1,7.422100067
1/4/1923,23271,1,7.27820015
1/5/1923,23221,1,6.907500267
1/6/1923,23189,1,6.224500179
1/7/1923,23167,1,5.434899807
1/8/1923,23152,1,5.094099998
1/9/1923,23141,1,4.697799683
1/10/1923,23132,1,4.860699654
1/11/1923,23125,1,5.658400059
1/12/1923,23119,1,6.408800125
1/13/1923,23113,1,7.018599987
1/14/1923,23109,1,7.391200066
1/15/1923,23104,1,7.476399899
1/16/1923,23099,1,7.470299721
1/17/1923,23094,1,7.191900253
1/18/1923,23088,1,6.635100365
1/19/1923,23081,1,5.955600262
1/20/1923,23073,1,5.102900028
1/21/1923,23063,1,4.48239994
1/22/1923,23050,1,3.985199928
1/23/1923,23033,1,3.481600285
1/24/1923,23010,1,3.256800175
1/25/1923,22976,1,3.681099892
1/26/1923,22927,1,4.263799667
1/27/1923,22848,1,4.936399937
1/28/1923,22712,1,5.610999584
1/29/1923,22445,1,6.217899799
1/30/1923,21805,1,6.906899929
1/31/1923,19545,1,7.299900055
2/1/1923,17409,1,7.426499844
2/2/1923,16856,1,7.217000008
2/3/1923,16635,1,6.685400009
2/4/1923,16525,1,5.862100124
2/5/1923,16463,1,5.37650013
2/6/1923,16424,1,4.90170002
2/7/1923,16398,1,5.018700123
2/8/1923,16380,1,5.289399624
2/9/1923,16366,1,5.68900013
2/10/1923,16356,1,6.075700283
2/11/1923,16348,1,6.387700081
2/12/1923,16341,1,6.545800209
2/13/1923,16335,1,6.64070034
2/14/1923,16329,1,6.577199936
2/15/1923,16323,1,6.274400234
2/16/1923,16317,1,5.783099651
2/17/1923,16311,1,5.178100109
2/18/1923,16303,1,4.518400192
2/19/1923,16293,1,4.041699886
2/20/1923,16281,1,3.625799656
2/21/1923,16264,1,3.553700209
2/22/1923,16241,1,3.564399958
2/23/1923,16206,1,3.743400097
2/24/1923,16150,1,4.077899933
2/25/1923,16051,1,4.601500034
2/26/1923,15852,1,5.260900021
2/27/1923,15354,1,5.926199913
2/28/1923,13431,1,6.427999973
3/1/1923,11396,1,6.827500343
3/2/1923,10819,1,6.837999821
3/3/1923,10579,1,6.47510004
3/4/1923,10457,1,5.960700035
3/5/1923,10387,1,5.547500134
3/6/1923,10343,1,5.680199623
3/7/1923,10315,1,5.711599827
3/8/1923,10295,1,5.65350008
3/9/1923,10282,1,5.515199661
3/10/1923,10272,1,5.403800011
3/11/1923,10266,1,5.383999825
3/12/1923,10262,1,5.453699589
3/13/1923,10260,1,5.540899754
3/14/1923,10259,1,5.527500153
3/15/1923,10260,1,5.403400421
3/16/1923,10263,1,5.119299889
3/17/1923,10268,1,4.64040041
3/18/1923,10274,1,4.33769989
3/19/1923,10284,1,4.252299786
3/20/1923,10296,1,4.416500092
3/21/1923,10312,1,4.344600201
3/22/1923,10334,1,4.317800045
3/23/1923,10364,1,4.158200264
3/24/1923,10406,1,4.10160017
3/25/1923,10466,1,4.149199963
3/26/1923,10557,1,4.377500057
3/27/1923,10701,1,4.783900261
3/28/1923,10953,1,5.282599926
3/29/1923,11446,1,5.660599709
3/30/1923,12632,1,5.771199703
3/31/1923,16813,1,5.893199921
4/1/1923,20920,1,6.052800179
4/2/1923,22051,1,6.554599762
4/3/1923,22515,1,6.606900215
4/4/1923,22750,1,6.856699944
4/5/1923,22884,1,6.568000317
4/6/1923,22968,1,6.034500122
4/7/1923,23024,1,5.46930027
4/8/1923,23062,1,5.018199921
4/9/1923,23089,1,4.702000141
4/10/1923,23109,1,4.686999798
4/11/1923,23124,1,4.642799854
4/12/1923,23135,1,4.684400082
4/13/1923,23143,1,4.477899551
4/14/1923,23148,1,4.564599991
4/15/1923,23152,1,4.863299847
4/16/1923,23154,1,5.061000347
4/17/1923,23154,1,5.257800102
4/18/1923,23152,1,5.163899899
4/19/1923,23149,1,5.258999825
4/20/1923,23143,1,5.142699718
4/21/1923,23134,1,4.885900021
4/22/1923,23121,1,4.609300137
4/23/1923,23103,1,4.41920042
4/24/1923,23075,1,4.35890007
4/25/1923,23033,1,4.631799698
4/26/1923,22965,1,4.948599815
4/27/1923,22846,1,5.346099854
4/28/1923,22609,1,5.556299686
4/29/1923,22033,1,6.479199886
4/30/1923,19941,1,7.224699974
5/1/1923,17811,1,7.614200115
5/2/1923,17207,1,7.604000092
5/3/1923,16955,1,7.530200005
5/4/1923,16827,1,7.081699848
5/5/1923,16752,1,6.338899612
5/6/1923,16706,1,5.487099648
5/7/1923,16674,1,4.84319973
5/8/1923,16652,1,4.694700241
5/9/1923,16635,1,4.576299667
5/10/1923,16623,1,4.380399704
5/11/1923,16613,1,4.324100018
5/12/1923,16604,1,4.767800331
5/13/1923,16597,1,5.264500141
5/14/1923,16590,1,5.493999958
5/15/1923,16584,1,5.889200211
5/16/1923,16577,1,5.923400402
5/17/1923,16571,1,6.057899952
5/18/1923,16563,1,5.844499588
5/19/1923,16555,1,5.864599705
5/20/1923,16545,1,5.626700401
5/21/1923,16533,1,5.261600018
5/22/1923,16518,1,4.807600021
5/23/1923,16497,1,4.913500309
5/24/1923,16470,1,5.042399883
5/25/1923,16430,1,5.129700184
5/26/1923,16372,1,5.411300182
5/27/1923,16279,1,6.51570034
5/28/1923,16118,1,7.350900173
5/29/1923,15802,1,7.860300064
5/30/1923,15043,1,8.147299767
5/31/1923,12368,1,8.026800156
6/1/1923,9740,1,7.551400185
6/2/1923,9016,1,7.187399864
6/3/1923,8719,1,6.249400139
6/4/1923,8568,1,5.319700241
6/5/1923,8482,1,4.938600063
6/6/1923,8428,1,4.577000141
6/7/1923,8392,1,4.330500126
6/8/1923,8367,1,4.073500156
6/9/1923,8349,1,4.598899841
6/10/1923,8335,1,5.191999912
6/11/1923,8325,1,5.610300064
6/12/1923,8317,1,6.098700047
6/13/1923,8310,1,6.336100101
6/14/1923,8305,1,6.596000195
6/15/1923,8300,1,6.627600193
6/16/1923,8296,1,6.481699944
6/17/1923,8292,1,6.414599895
6/18/1923,8289,1,6.159200191
6/19/1923,8285,1,5.552199841
6/20/1923,8282,1,5.311100006
6/21/1923,8278,1,5.181300163
6/22/1923,8273,1,5.060500145
6/23/1923,8267,1,5.157299995
6/24/1923,8259,1,6.148099899
6/25/1923,8247,1,6.976500034
6/26/1923,8228,1,7.572399616
6/27/1923,8196,1,8.044099808
6/28/1923,8132,1,8.131000519
6/29/1923,7978,1,7.816699982
6/30/1923,7417,1,7.12680006
7/1/1923,6846,0,6.879000187
7/2/1923,6684,0,6.050600052
7/3/1923,6616,0,5.204200268
7/4/1923,6582,0,4.691800117
7/5/1923,6562,0,4.238300323
7/6/1923,6549,0,3.901500225
7/7/1923,6541,0,4.059500217
7/8/1923,6535,0,4.567099571
7/9/1923,6530,0,5.167500019
7/10/1923,6527,0,5.761899948
7/11/1923,6524,0,6.20359993
7/12/1923,6522,0,6.642399788
7/13/1923,6520,0,6.911300182
7/14/1923,6518,0,6.89950037
7/15/1923,6516,0,6.887599945
7/16/1923,6514,0,6.558000088
7/17/1923,6512,0,6.235000134
7/18/1923,6510,0,5.637899876
7/19/1923,6508,0,5.416899681
7/20/1923,6505,0,5.083600044
7/21/1923,6501,0,5.419399738
7/22/1923,6496,0,5.623300076
7/23/1923,6490,0,6.284399986
7/24/1923,6482,0,6.924399853
7/25/1923,6470,0,7.416399956
7/26/1923,6452,0,7.647200108
7/27/1923,6424,0,7.543699741
7/28/1923,6375,0,7.08039999
7/29/1923,6278,0,6.639200211
7/30/1923,6047,0,6.152499676
7/31/1923,5232,0,5.448200226
8/1/1923,4417,0,4.757599831
8/2/1923,4186,0,4.207300186
8/3/1923,4089,0,3.673699856
8/4/1923,4040,0,3.80850029
8/5/1923,4012,0,4.090400219
8/6/1923,3994,0,4.375699997
8/7/1923,3982,0,4.901800156
8/8/1923,3974,0,5.508500099
8/9/1923,3968,0,6.134799957
8/10/1923,3964,0,6.590400219
8/11/1923,3960,0,6.793400288
8/12/1923,3958,0,6.978500366
8/13/1923,3956,0,6.742000103
8/14/1923,3954,0,6.208199978
8/15/1923,3953,0,5.91590023
8/16/1923,3951,0,5.433700085
8/17/1923,3950,0,4.949299812
8/18/1923,3950,0,5.331699848
8/19/1923,3949,0,5.707300186
8/20/1923,3948,0,5.731499672
8/21/1923,3948,0,6.162399769
8/22/1923,3947,0,6.523199558
8/23/1923,3947,0,6.765200138
8/24/1923,3946,0,6.784999847
8/25/1923,3945,0,6.534699917
8/26/1923,3944,0,6.22149992
8/27/1923,3942,0,5.681300163
8/28/1923,3939,0,5.083799839
8/29/1923,3934,0,4.591199875
8/30/1923,3921,0,4.098100185
8/31/1923,3876,0,3.721000195
9/1/1923,3832,1,3.714600086
9/2/1923,3819,1,3.803499937
9/3/1923,3814,1,4.034199715
9/4/1923,3812,1,4.240099907
9/5/1923,3810,1,4.603499889
9/6/1923,3810,1,5.176099777
9/7/1923,3809,1,5.680500031
9/8/1923,3809,1,6.161499977
9/9/1923,3808,1,6.469200134
9/10/1923,3808,1,6.390100002
9/11/1923,3808,1,6.149099827
9/12/1923,3808,1,5.732500076
9/13/1923,3808,1,5.791199684
9/14/1923,3809,1,5.925600052
9/15/1923,3809,1,5.85010004
9/16/1923,3809,1,5.683000088
9/17/1923,3810,1,5.635799885
9/18/1923,3810,1,5.496799946
9/19/1923,3811,1,5.63740015
9/20/1923,3812,1,5.731299877
9/21/1923,3813,1,5.735599995
9/22/1923,3815,1,5.653699875
9/23/1923,3817,1,5.382699966
9/24/1923,3820,1,4.991499901
9/25/1923,3826,1,4.750299931
9/26/1923,3834,1,4.656299591
9/27/1923,3848,1,4.603499889
9/28/1923,3877,1,4.582600117
9/29/1923,3946,1,4.415800095
9/30/1923,4197,1,4.235899925
10/1/1923,4452,1,4.083299637
10/2/1923,4525,1,4.051300049
10/3/1923,4555,1,4.210700035
10/4/1923,4570,1,4.303199768
10/5/1923,4579,1,4.727399826
10/6/1923,4585,1,5.162899971
10/7/1923,4588,1,5.447800159
10/8/1923,4591,1,5.63160038
10/9/1923,4593,1,5.694699764
10/10/1923,4594,1,6.501200199
10/11/1923,4595,1,6.974399567
10/12/1923,4596,1,7.038099766
10/13/1923,4597,1,6.904900074
10/14/1923,4598,1,6.503200054
10/15/1923,4598,1,5.954100132
10/16/1923,4599,1,5.403000355
10/17/1923,4599,1,4.953799725
10/18/1923,4599,1,4.82640028
10/19/1923,4600,1,5.040100098
10/20/1923,4600,1,5.064700127
10/21/1923,4601,1,4.887199879
10/22/1923,4601,1,4.938499928
10/23/1923,4602,1,5.100399971
10/24/1923,4603,1,5.418699741
10/25/1923,4605,1,5.466599941
10/26/1923,4607,1,5.531699657
10/27/1923,4610,1,5.425300121
10/28/1923,4616,1,5.180500031
10/29/1923,4627,1,4.89109993
10/30/1923,4654,1,4.607999802
10/31/1923,4748,1,4.332499981
11/1/1923,4841,0,4.155600071
11/2/1923,4866,0,4.278299809
11/3/1923,4877,0,4.387899876
11/4/1923,4882,0,4.93089962
11/5/1923,4885,0,5.194900036
11/6/1923,4887,0,6.097899914
11/7/1923,4888,0,7.106600285
11/8/1923,4889,0,7.722199917
11/9/1923,4890,0,8.064899445
