,NDOI,smscg,tide
3/12/1923,10616.85956,1,5.453699589
3/13/1923,10615.97354,1,5.540899754
3/14/1923,10616.50262,1,5.527500153
3/15/1923,10618.41418,1,5.403400421
3/16/1923,10621.77241,1,5.119299889
3/17/1923,10626.74098,1,4.64040041
3/18/1923,10633.60042,1,4.33769989
3/19/1923,10642.78366,1,4.252299786
3/20/1923,10654.93844,1,4.416500092
3/21/1923,10671.03334,1,4.344600201
3/22/1923,10692.54065,1,4.317800045
3/23/1923,10721.76216,1,4.158200264
3/24/1923,10762.43821,1,4.10160017
3/25/1923,10820.95738,1,4.149199963
3/26/1923,10908.95056,1,4.377500057
3/27/1923,11049.42484,1,4.783900261
3/28/1923,11293.26108,1,5.282599926
3/29/1923,11772.2577,1,5.660599709
3/30/1923,12922.14752,1,5.771199703
3/31/1923,16978.76079,1,5.893199921
4/1/1923,20963.47392,1,6.052800179
4/2/1923,22060.58486,1,6.554599762
4/3/1923,22511.44015,1,6.606900215
4/4/1923,22739.08586,1,6.856699944
4/5/1923,22869.47128,1,6.568000317
4/6/1923,22950.74739,1,6.034500122
4/7/1923,23004.53976,1,5.46930027
4/8/1923,23041.72388,1,5.018199921
4/9/1923,23068.2462,1,4.702000141
4/10/1923,23087.5718,1,4.686999798
4/11/1923,23101.82032,1,4.642799854
4/12/1923,23112.33523,1,4.684400082
4/13/1923,23119.98656,1,4.477899551
4/14/1923,23125.33909,1,4.564599991
4/15/1923,23128.74785,1,4.863299847
4/16/1923,23130.41131,1,5.061000347
4/17/1923,23130.39714,1,5.257800102
4/18/1923,23128.64704,1,5.163899899
4/19/1923,23124.96086,1,5.258999825
4/20/1923,23118.95444,1,5.142699718
4/21/1923,23109.97647,1,4.885900021
4/22/1923,23096.95237,1,4.609300137
4/23/1923,23078.08595,1,4.41920042
4/24/1923,23050.26035,1,4.35890007
4/25/1923,23007.74413,1,4.631799698
4/26/1923,22939.11135,1,4.948599815
4/27/1923,22818.89268,1,5.346099854
4/28/1923,22580.43735,1,5.556299686
4/29/1923,21999.83905,1,6.479199886
4/30/1923,19890.76387,1,7.224699974
5/1/1923,17743.56313,1,7.614200115
5/2/1923,17134.8101,1,7.604000092
5/3/1923,16881.0696,1,7.530200005
5/4/1923,16751.69541,1,7.081699848
5/5/1923,16676.91132,1,6.338899612
5/6/1923,16629.76779,1,5.487099648
5/7/1923,16598.0652,1,4.84319973
5/8/1923,16575.62079,1,4.694700241
5/9/1923,16559.02081,1,4.576299667
5/10/1923,16546.24591,1,4.380399704
5/11/1923,16536.02873,1,4.324100018
5/12/1923,16527.52882,1,4.767800331
5/13/1923,16520.15624,1,5.264500141
5/14/1923,16513.46955,1,5.493999958
5/15/1923,16507.11211,1,5.889200211
5/16/1923,16500.7683,1,5.923400402
5/17/1923,16494.12894,1,6.057899952
5/18/1923,16486.85847,1,5.844499588
5/19/1923,16478.55732,1,5.864599705
5/20/1923,16468.71121,1,5.626700401
5/21/1923,16456.61483,1,5.261600018
5/22/1923,16441.24703,1,4.807600021
5/23/1923,16421.05368,1,4.913500309
5/24/1923,16393.54564,1,5.042399883
5/25/1923,16354.50351,1,5.129700184
5/26/1923,16296.27476,1,5.411300182
5/27/1923,16203.74958,1,6.51570034
5/28/1923,16043.53965,1,7.350900173
5/29/1923,15729.18714,1,7.860300064
5/30/1923,14974.89205,1,8.147299767
5/31/1923,12314.20905,1,8.026800156
6/1/1923,9700.695565,1,7.551400185
6/2/1923,8981.054063,1,7.187399864
6/3/1923,8685.224445,1,6.249400139
6/4/1923,8535.731444,1,5.319700241
6/5/1923,8449.957972,1,4.938600063
6/6/1923,8396.311354,1,4.577000141
6/7/1923,8360.594006,1,4.330500126
6/8/1923,8335.656099,1,4.073500156
6/9/1923,8317.576844,1,4.598899841
6/10/1923,8304.058033,1,5.191999912
6/11/1923,8293.677514,1,5.610300064
6/12/1923,8285.513831,1,6.098700047
6/13/1923,8278.944857,1,6.336100101
