date,NDOI,SMSCG,Tide,X_2_DIS
1/1/1923,29116.34118,1,6.843799591,61.234
1/2/1923,28944.86599,1,7.281499863,61.632
1/3/1923,28767.85217,1,7.422100067,62.222
1/4/1923,28585.80518,1,7.27820015,62.397
1/5/1923,28399.23053,1,6.907500267,62.236
1/6/1923,28208.6337,1,6.224500179,61.423
1/7/1923,28014.52017,1,5.434899807,61.28
1/8/1923,27817.39543,1,5.094099998,61.163
1/9/1923,27617.76496,1,4.697799683,61.135
1/10/1923,27416.13425,1,4.860699654,60.432
1/11/1923,27213.00879,1,5.658400059,60.555
1/12/1923,27008.89407,1,6.408800125,61.568
1/13/1923,26804.29556,1,7.018599987,62.21
1/14/1923,26599.71876,1,7.391200066,62.745
1/15/1923,26395.66914,1,7.476399899,63.464
1/16/1923,26188.9579,1,7.470299721,63.509
1/17/1923,25958.4373,1,7.191900253,63.041
1/18/1923,25702.22867,1,6.635100365,62.392
1/19/1923,25422.20462,1,5.955600262,62.298
1/20/1923,25120.23773,1,5.102900028,61.643
1/21/1923,24798.20062,1,4.48239994,61.046
1/22/1923,24457.96588,1,3.985199928,62.577
1/23/1923,24101.4061,1,3.481600285,60.415
1/24/1923,23730.3939,1,3.256800175,59.92
1/25/1923,23346.80187,1,3.681099892,59.914
1/26/1923,22952.5026,1,4.263799667,59.927
1/27/1923,22549.3687,1,4.936399937,60.806
1/28/1923,22139.27277,1,5.610999584,62.63
1/29/1923,21724.08741,1,6.217899799,63.32
1/30/1923,21305.68522,1,6.906899929,63.376
1/31/1923,20885.93879,1,7.299900055,63.292
2/1/1923,20466.72072,1,7.426499844,63.568
2/2/1923,20049.90363,1,7.217000008,63.858
2/3/1923,19637.36009,1,6.685400009,63.909
2/4/1923,19230.96273,1,5.862100124,64.157
2/5/1923,18832.58412,1,5.37650013,65.004
2/6/1923,18444.09688,1,4.90170002,65.205
2/7/1923,18067.3736,1,5.018700123,65.526
2/8/1923,17704.28689,1,5.289399624,66.337
2/9/1923,17356.70934,1,5.68900013,66.47
2/10/1923,17026.51355,1,6.075700283,66.399
2/11/1923,16715.57212,1,6.387700081,68.007
2/12/1923,16425.75765,1,6.545800209,67.955
2/13/1923,16158.94275,1,6.64070034,67.149
2/14/1923,15917,1,6.577199936,67.442
2/15/1923,15686.5116,1,6.274400234,67.649
2/16/1923,15453.31865,1,5.783099651,67.122
2/17/1923,15218.18211,1,5.178100109,67.261
2/18/1923,14981.86294,1,4.518400192,67.37
2/19/1923,14745.12212,1,4.041699886,67.299
2/20/1923,14508.72061,1,3.625799656,66.903
2/21/1923,14273.41938,1,3.553700209,66.7
2/22/1923,14039.97938,1,3.564399958,66.053
2/23/1923,13809.1616,1,3.743400097,65.877
2/24/1923,13581.72698,1,4.077899933,66.209
2/25/1923,13358.43651,1,4.601500034,66.853
2/26/1923,13140.05114,1,5.260900021,67.19
2/27/1923,12927.33185,1,5.926199913,67.867
2/28/1923,12721.03959,1,6.427999973,68.922
3/1/1923,12521.93533,1,6.827500343,69.955
3/2/1923,12330.78004,1,6.837999821,70.51
3/3/1923,12148.33469,1,6.47510004,70.524
3/4/1923,11975.36024,1,5.960700035,70.131
3/5/1923,11812.61766,1,5.547500134,70.56
3/6/1923,11660.86791,1,5.680199623,70.607
