dcc,exports,sac,sjr,tide,net_dcd,smscg
0,1734.942768,22290.01548,6335.896343,5.556299686,-9.952951431,1
0,1734.942768,22203.28407,6297.104858,6.479199886,-9.952951431,1
0,1734.942768,21992.03107,6202.627099,7.224699974,-9.952951431,1
0,2139.226053,18938.58199,5859.40132,7.614200115,1632.27761,1
0,2139.226053,18157.22248,5509.964213,7.604000092,1632.27761,1
0,2139.226053,17935.67859,5410.882897,7.530200005,1632.27761,1
0,2139.226053,17843.3038,5369.565293,7.081699848,1632.27761,1
0,2139.226053,17796.16496,5348.474807,6.338899612,1632.27761,1
0,2139.226053,17768.86796,5336.254355,5.487099648,1632.27761,1
0,2139.226053,17751.60251,5328.51607,4.84319973,1632.27761,1
0,2139.226053,17739.92497,5323.272042,4.694700241,1632.27761,1
0,2139.226053,17731.58035,5319.513009,4.576299667,1632.27761,1
0,2139.226053,17725.32013,5316.679663,4.380399704,1632.27761,1
0,2139.226053,17720.40182,5314.438767,4.324100018,1632.27761,1
0,2139.226053,17716.35475,5312.578372,4.767800331,1632.27761,1
0,2139.226053,17712.8612,5310.954577,5.264500141,1632.27761,1
0,2139.226053,17709.69155,5309.46239,5.493999958,1632.27761,1
0,2139.226053,17706.66604,5308.018489,5.889200211,1632.27761,1
0,2139.226053,17703.63018,5306.549997,5.923400402,1632.27761,1
0,2139.226053,17700.43674,5304.986097,6.057899952,1632.27761,1
0,2139.226053,17696.93006,5303.250568,5.844499588,1632.27761,1
0,2139.226053,17692.9296,5301.253697,5.864599705,1632.27761,1
0,2139.226053,17688.20917,5298.881935,5.626700401,1632.27761,1
0,2139.226053,17682.4674,5295.982998,5.261600018,1632.27761,1
0,2139.226053,17675.28193,5292.342569,4.807600021,1632.27761,1
0,2139.226053,17666.03332,5287.645617,4.913500309,1632.27761,1
0,2139.226053,17653.77193,5281.408528,5.042399883,1632.27761,1
0,2139.226053,17636.97071,5272.853092,5.129700184,1632.27761,1
0,2139.226053,17613.03567,5260.656859,5.411300182,1632.27761,1
0,2139.226053,17577.25717,5242.418365,6.51570034,1632.27761,1
0,2139.226053,17520.33141,5213.393091,7.350900173,1632.27761,1
0,2139.226053,17421.69486,5163.094182,7.860300064,1632.27761,1
0,2139.226053,17228.0941,5064.363308,8.147299767,1632.27761,1
0,2139.226053,16763.48549,4827.420746,8.026800156,1632.27761,1
26,5914.077653,14510.31684,3991.599826,7.551400185,2015.941294,1
26,5914.077653,12900.49033,3170.592196,7.187399864,2015.941294,1
26,5914.077653,12457.31193,2944.521387,6.249400139,2015.941294,1
26,5914.077653,12275.27154,2851.583826,5.319700241,2015.941294,1
26,5914.077653,12183.46328,2804.613316,4.938600063,2015.941294,1
26,5914.077653,12131.0113,2777.656143,4.577000141,2015.941294,1
26,5914.077653,12098.47236,2760.787264,4.330500126,2015.941294,1
26,5914.077653,12077.12171,2749.545997,4.073500156,2015.941294,1
26,5914.077653,12062.58032,2741.685489,4.598899841,2015.941294,1
26,5914.077653,12052.46384,2735.973072,5.191999912,2015.941294,1
26,5914.077653,12045.39473,2731.685554,5.610300064,2015.941294,1
26,5914.077653,12040.54459,2728.374643,6.098700047,2015.941294,1
26,5914.077653,12037.40595,2725.748925,6.336100101,2015.941294,1
26,5914.077653,12035.67237,2723.610481,6.596000195,2015.941294,1
26,5914.077653,12035.17401,2721.818803,6.627600193,2015.941294,1
26,5914.077653,12035.84394,2720.269069,6.481699944,2015.941294,1
26,5914.077653,12037.70394,2718.878181,6.414599895,2015.941294,1
26,5914.077653,12040.86498,2717.574942,6.159200191,2015.941294,1
26,5914.077653,12045.54198,2716.29215,5.552199841,2015.941294,1
26,5914.077653,12052.08667,2714.958916,5.311100006,2015.941294,1
26,5914.077653,12061.04782,2713.491467,5.181300163,2015.941294,1
26,5914.077653,12073.27813,2711.779942,5.060500145,2015.941294,1
26,5914.077653,12090.12728,2709.666763,5.157299995,2015.941294,1
26,5914.077653,12113.80521,2706.907583,6.148099899,2015.941294,1
26,5914.077653,12148.1076,2703.094611,6.976500034,2015.941294,1
26,5914.077653,12199.97926,2697.492443,7.572399616,2015.941294,1
26,5914.077653,12283.23232,2688.648513,8.044099808,2015.941294,1
26,5914.077653,12428.62323,2673.33818,8.131000519,2015.941294,1
26,5914.077653,12716.60481,2643.136842,7.816699982,2015.941294,1
26,5914.077653,13417.41025,2569.759374,7.12680006,2015.941294,1
31,12105.24348,16093.9658,2303.365661,6.879000187,2599.953099,1
31,12105.24348,18685.257,2032.173887,6.050600052,2599.953099,1
31,12105.24348,19419.78413,1955.295321,5.204200268,2599.953099,1
