dcc,exports,sac,sjr,tide,net_dcd,smscg
31,12105.24348,19725.75526,1923.261312,4.691800117,2599.953099,1
31,12105.24348,19881.50851,1906.941805,4.238300323,2599.953099,1
31,12105.24348,19971.23409,1897.524992,3.901500225,2599.953099,1
31,12105.24348,20027.43348,1891.608324,4.059500217,2599.953099,1
31,12105.24348,20064.80287,1887.652424,4.567099571,2599.953099,1
31,12105.24348,20090.77142,1884.878158,5.167500019,2599.953099,1
31,12105.24348,20109.41954,1882.856501,5.761899948,2599.953099,1
31,12105.24348,20123.13585,1881.335022,6.20359993,2599.953099,1
31,12105.24348,20133.38991,1880.156898,6.642399788,2599.953099,1
31,12105.24348,20141.12123,1879.220021,6.911300182,2599.953099,1
31,12105.24348,20146.94728,1878.454994,6.89950037,2599.953099,1
31,12105.24348,20151.28025,1877.812583,6.887599945,2599.953099,1
31,12105.24348,20154.39467,1877.256177,6.558000088,2599.953099,1
31,12105.24348,20156.46706,1876.756966,6.235000134,2599.953099,1
31,12105.24348,20157.59843,1876.29062,5.637899876,2599.953099,1
31,12105.24348,20157.82497,1875.834705,5.416899681,2599.953099,1
31,12105.24348,20157.1192,1875.366325,5.083600044,2599.953099,1
31,12105.24348,20155.38115,1874.859504,5.419399738,2599.953099,1
31,12105.24348,20152.41646,1874.281717,5.623300076,2599.953099,1
31,12105.24348,20147.89379,1873.588571,6.284399986,2599.953099,1
31,12105.24348,20141.26529,1872.714864,6.924399853,2599.953099,1
31,12105.24348,20131.61516,1871.558241,7.416399956,2599.953099,1
31,12105.24348,20117.3566,1869.947052,7.647200108,2599.953099,1
31,12105.24348,20095.58014,1867.571698,7.543699741,2599.953099,1
31,12105.24348,20060.51102,1863.822504,7.08039999,2599.953099,1
31,12105.24348,19999.35889,1857.353872,6.639200211,2599.953099,1
31,12105.24348,19878.97193,1844.683144,6.152499676,2599.953099,1
31,12105.24348,19589.7243,1814.299859,5.448200226,2599.953099,1
31,11323.82596,18601.77894,1707.146585,4.757599831,1985.633414,1
31,11323.82596,17581.09457,1599.995993,4.207300186,1985.633414,1
31,11323.82596,17291.75524,1569.621229,3.673699856,1985.633414,1
31,11323.82596,17171.20509,1556.965665,3.80850029,1985.633414,1
31,11323.82596,17109.80808,1550.519787,4.090400219,1985.633414,1
31,11323.82596,17074.40034,1546.802057,4.375699997,1985.633414,1
31,11323.82596,17052.17712,1544.468216,4.901800156,1985.633414,1
31,11323.82596,17037.34641,1542.910191,5.508500099,1985.633414,1
31,11323.82596,17026.9779,1541.820319,6.134799957,1985.633414,1
31,11323.82596,17019.45942,1541.029309,6.590400219,1985.633414,1
31,11323.82596,17013.84408,1540.437695,6.793400288,1985.633414,1
31,11323.82596,17009.54553,1539.983848,6.978500366,1985.633414,1
31,11323.82596,17006.18437,1539.627847,6.742000103,1985.633414,1
31,11323.82596,17003.50556,1539.3428,6.208199978,1985.633414,1
31,11323.82596,17001.33169,1539.109931,5.91590023,1985.633414,1
31,11323.82596,16999.53513,1538.915647,5.433700085,1985.633414,1
31,11323.82596,16998.02079,1538.749713,4.949299812,1985.633414,1
31,11323.82596,16996.71488,1538.604042,5.331699848,1985.633414,1
31,11323.82596,16995.55703,1538.471836,5.707300186,1985.633414,1
31,11323.82596,16994.49435,1538.346909,5.731499672,1985.633414,1
31,11323.82596,16993.47612,1538.223037,6.162399769,1985.633414,1
31,11323.82596,16992.44818,1538.093231,6.523199558,1985.633414,1
31,11323.82596,16991.34556,1537.948722,6.765200138,1985.633414,1
