,NDOI,smscg,tide,X2_DIS
2/11/1923,15161.89066,1,6.387700081,68.32478891
2/12/1923,15150.82362,1,6.545800209,68.33354575
2/13/1923,15141.65425,1,6.64070034,67.42152723
2/14/1923,15133.76101,1,6.577199936,67.89040382
2/15/1923,15126.65689,1,6.274400234,68.08368236
2/16/1923,15119.92298,1,5.783099651,67.47613854
2/17/1923,15113.15461,1,5.178100109,67.76305755
2/18/1923,15105.9069,1,4.518400192,67.98075091
2/19/1923,15097.62483,1,4.041699886,67.924956
2/20/1923,15087.53486,1,3.625799656,67.39098817
2/21/1923,15074.45308,1,3.553700209,67.22108939
2/22/1923,15056.40969,1,3.564399958,66.77856266
2/23/1923,15029.84035,1,3.743400097,66.59375261
2/24/1923,14987.64781,1,4.077899933,66.90206902
2/25/1923,14913.87261,1,4.601500034,67.32941004
2/26/1923,14765.98748,1,5.260900021,67.71860175
2/27/1923,14396.42184,1,5.926199913,68.52877787
2/28/1923,12967.95034,1,6.427999973,69.56155288
3/1/1923,11456.49259,1,6.827500343,70.43968133
3/2/1923,11028.16129,1,6.837999821,71.25357176
3/3/1923,10849.89679,1,6.47510004,71.1628562
3/4/1923,10759.35806,1,5.960700035,70.55526471
3/5/1923,10707.4525,1,5.547500134,71.09030641
3/6/1923,10675.24038,1,5.680199623,71.26432463
3/7/1923,10654.17143,1,5.711599827,72.12452104
3/8/1923,10639.93877,1,5.65350008,72.39414064
3/9/1923,10630.19459,1,5.515199661,71.87469061
3/10/1923,10623.58523,1,5.403800011,71.53415397
3/11/1923,10619.30248,1,5.383999825,71.03845502
3/12/1923,10616.85956,1,5.453699589,71.46845687
3/13/1923,10615.97354,1,5.540899754,72.66055751
3/14/1923,10616.50262,1,5.527500153,72.78350376
3/15/1923,10618.41418,1,5.403400421,72.87292822
3/16/1923,10621.77241,1,5.119299889,73.3709996
3/17/1923,10626.74098,1,4.64040041,74.11119031
3/18/1923,10633.60042,1,4.33769989,73.89818091
3/19/1923,10642.78366,1,4.252299786,73.67684484
3/20/1923,10654.93844,1,4.416500092,74.86136893
3/21/1923,10671.03334,1,4.344600201,74.17203443
3/22/1923,10692.54065,1,4.317800045,73.65848748
3/23/1923,10721.76216,1,4.158200264,73.78690751
3/24/1923,10762.43821,1,4.10160017,73.21255253
3/25/1923,10820.95738,1,4.149199963,73.55879761
3/26/1923,10908.95056,1,4.377500057,73.42212156
3/27/1923,11049.42484,1,4.783900261,74.53871009
3/28/1923,11293.26108,1,5.282599926,75.6937907
3/29/1923,11772.2577,1,5.660599709,75.93914803
3/30/1923,12922.14752,1,5.771199703,75.69533577
3/31/1923,16978.76079,1,5.893199921,76.30109568
4/1/1923,20963.47392,1,6.052800179,77.25634587
4/2/1923,22060.58486,1,6.554599762,76.59493706
4/3/1923,22511.44015,1,6.606900215,74.85153138
4/4/1923,22739.08586,1,6.856699944,74.1807269
4/5/1923,22869.47128,1,6.568000317,73.81639285
4/6/1923,22950.74739,1,6.034500122,72.16456285
4/7/1923,23004.53976,1,5.46930027,69.52187892
4/8/1923,23041.72388,1,5.018199921,67.47928176
4/9/1923,23068.2462,1,4.702000141,67.35573357
4/10/1923,23087.5718,1,4.686999798,67.1313454
4/11/1923,23101.82032,1,4.642799854,65.03915527
4/12/1923,23112.33523,1,4.684400082,64.61670764
4/13/1923,23119.98656,1,4.477899551,65.26103932
4/14/1923,23125.33909,1,4.564599991,65.20827326
4/15/1923,23128.74785,1,4.863299847,65.12382149
4/16/1923,23130.41131,1,5.061000347,65.33424383
4/17/1923,23130.39714,1,5.257800102,65.80856581
4/18/1923,23128.64704,1,5.163899899,64.94438218
4/19/1923,23124.96086,1,5.258999825,63.73502785
4/20/1923,23118.95444,1,5.142699718,63.95624673
4/21/1923,23109.97647,1,4.885900021,64.21021203
4/22/1923,23096.95237,1,4.609300137,63.62665721
4/23/1923,23078.08595,1,4.41920042,63.60112102
4/24/1923,23050.26035,1,4.35890007,63.67451548
4/25/1923,23007.74413,1,4.631799698,63.31725087
